Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Control of Corruption: Percentile Rank,CC.PER.RNK,Israel,ISR,84.26396,74.28571,76.30331,77.72512,78.67299,78.84615,79.32692,84.61539,79.80769,79.32692,78.84615
Control of Corruption: Percentile Rank,CC.PER.RNK,Italy,ITA,77.15736,61.90476,63.50711,60.18958,59.71564,56.25,57.69231,59.61538,61.53846,62.01923,62.01923
Control of Corruption: Percentile Rank,CC.PER.RNK,Jamaica,JAM,58.37563,50.95238,54.02843,49.2891,48.34123,48.55769,50.96154,51.44231,50.48077,50,54.32692
Control of Corruption: Percentile Rank,CC.PER.RNK,Japan,JPN,85.7868,91.42857,90.99526,91.94313,92.41706,92.78846,91.34615,90.86539,90.38461,89.42308,89.90385
Control of Corruption: Percentile Rank,CC.PER.RNK,"Jersey, Channel Islands",JEY,..,..,85.30806,84.83412,84.36019,84.13461,84.13461,83.17308,83.17308,82.69231,82.21154
Control of Corruption: Percentile Rank,CC.PER.RNK,Jordan,JOR,59.39086,59.52381,61.13744,60.66351,60.18958,59.61538,64.42308,64.90385,63.94231,60.57692,60.57692
Control of Corruption: Percentile Rank,CC.PER.RNK,Kazakhstan,KAZ,9.64467,16.66667,17.53555,18.95735,18.95735,22.59615,19.71154,20.67308,19.71154,36.05769,43.75
Control of Corruption: Percentile Rank,CC.PER.RNK,Kenya,KEN,12.69036,19.04762,18.00948,12.32228,14.69194,16.34615,13.94231,16.82692,15.38461,19.71154,24.51923
Control of Corruption: Percentile Rank,CC.PER.RNK,Kiribati,KIR,44.67005,56.19048,60.18958,59.24171,58.29384,63.46154,62.98077,64.42308,66.34615,64.90385,65.38461
Control of Corruption: Percentile Rank,CC.PER.RNK,"Korea, Dem. People’s Rep.",PRK,4.060914,5.714286,5.21327,5.687204,6.635071,7.692307,9.615385,5.288462,4.807693,1.923077,2.884615
Control of Corruption: Percentile Rank,CC.PER.RNK,"Korea, Rep.",KOR,65.48223,70.95238,71.09005,70.61611,71.56398,70.19231,66.82692,67.30769,67.78846,72.11539,76.92308
Control of Corruption: Percentile Rank,CC.PER.RNK,Kosovo,XKX,69.03553,31.90476,31.75356,29.85782,30.33175,36.53846,34.13462,40.38462,38.46154,35.57692,31.73077
Control of Corruption: Percentile Rank,CC.PER.RNK,Kuwait,KWT,73.60406,65.2381,59.71564,52.1327,52.60664,50.96154,51.44231,48.07692,44.71154,44.71154,50.96154
Control of Corruption: Percentile Rank,CC.PER.RNK,Kyrgyz Republic,KGZ,19.79696,10.47619,7.582938,11.37441,10.42654,12.01923,11.05769,12.5,12.98077,16.34615,17.30769
Control of Corruption: Percentile Rank,CC.PER.RNK,Lao PDR,LAO,21.3198,8.571428,9.952606,15.63981,18.48341,21.15385,17.78846,14.42308,15.86539,15.38461,13.46154
Control of Corruption: Percentile Rank,CC.PER.RNK,Latvia,LVA,56.85279,63.80952,65.40285,64.45498,66.82465,67.78846,67.78846,66.82692,69.71154,64.42308,68.26923
Control of Corruption: Percentile Rank,CC.PER.RNK,Lebanon,LBN,34.51777,20,19.43128,19.43128,19.43128,13.94231,19.23077,13.94231,14.90385,12.01923,12.01923
Control of Corruption: Percentile Rank,CC.PER.RNK,Lesotho,LSO,57.86802,62.85714,62.55924,62.08531,63.98104,61.53846,59.61538,56.73077,55.76923,53.84615,55.76923
Control of Corruption: Percentile Rank,CC.PER.RNK,Liberia,LBR,2.538071,32.85714,27.48815,32.70142,26.54029,24.03846,30.28846,25.48077,26.92308,20.19231,19.23077
Control of Corruption: Percentile Rank,CC.PER.RNK,Libya,LBY,22.84264,5.238095,5.687204,3.317536,0.9478673,1.442308,0.9615384,1.923077,1.923077,2.884615,2.403846
Control of Corruption: Percentile Rank,CC.PER.RNK,Liechtenstein,LIE,88.83249,93.80952,93.83886,93.83886,94.78673,97.11539,96.15385,96.63461,97.11539,95.67308,95.67308
Control of Corruption: Percentile Rank,CC.PER.RNK,Lithuania,LTU,66.49746,69.04762,67.29858,68.24644,68.24644,70.67308,70.67308,75,70.19231,68.75,74.51923
Control of Corruption: Percentile Rank,CC.PER.RNK,Luxembourg,LUX,94.41624,95.71429,98.10426,96.68246,97.15639,96.63461,97.11539,97.59615,96.15385,97.11539,98.07692
Control of Corruption: Percentile Rank,CC.PER.RNK,"Macao SAR, China",MAC,69.54314,69.52381,70.61611,70.14218,70.61611,77.40385,70.19231,78.36539,72.11539,76.92308,75
Control of Corruption: Percentile Rank,CC.PER.RNK,Madagascar,MDG,38.57868,40.95238,39.33649,28.90995,23.69668,21.63461,20.19231,16.34615,13.46154,14.90385,15.86539
Control of Corruption: Percentile Rank,CC.PER.RNK,Malawi,MWI,47.20812,38.09524,40.75829,38.38863,33.64929,25.96154,23.55769,22.59615,27.88461,25,24.03846
Control of Corruption: Percentile Rank,CC.PER.RNK,Malaysia,MYS,65.98985,60.95238,57.8199,63.98104,67.29858,66.82692,63.46154,60.09615,58.17308,63.94231,62.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Maldives,MDV,43.14721,34.76191,34.59716,27.96209,24.17062,43.75,37.98077,28.84615,21.63461,17.30769,46.15385
Control of Corruption: Percentile Rank,CC.PER.RNK,Mali,MLI,24.8731,28.57143,29.85782,22.27488,22.27488,26.44231,27.88461,30.28846,28.84615,26.92308,26.92308
Control of Corruption: Percentile Rank,CC.PER.RNK,Malta,MLT,83.24873,74.7619,73.45972,79.14692,81.04266,77.88461,78.84615,75.48077,76.92308,71.63461,61.53846
Control of Corruption: Percentile Rank,CC.PER.RNK,Marshall Islands,MHL,46.19289,45.23809,45.97157,48.34123,58.76777,54.32692,54.80769,56.25,57.21154,54.32692,54.80769
Control of Corruption: Percentile Rank,CC.PER.RNK,Martinique,MTQ,82.23351,77.14286,75.82938,76.30331,76.77725,87.01923,87.01923,87.5,86.53846,86.53846,87.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Mauritania,MRT,37.56345,26.19048,30.80569,24.17062,21.80095,16.82692,17.30769,24.51923,23.07692,23.07692,20.19231
Control of Corruption: Percentile Rank,CC.PER.RNK,Mauritius,MUS,68.52792,72.38095,71.56398,65.40285,64.92891,65.86539,65.86539,62.98077,62.01923,62.98077,63.94231
Control of Corruption: Percentile Rank,CC.PER.RNK,Mexico,MEX,47.71574,42.85714,41.70616,42.65403,37.44076,24.51923,24.03846,25.96154,16.34615,19.23077,22.59615
Control of Corruption: Percentile Rank,CC.PER.RNK,"Micronesia, Fed. Sts.",FSM,48.73096,54.28571,45.0237,54.02843,52.1327,75.96154,75,73.07692,77.88461,75.48077,76.44231
Control of Corruption: Percentile Rank,CC.PER.RNK,Moldova,MDA,31.47208,29.04762,31.27962,31.75356,23.22275,20.67308,18.26923,14.90385,21.15385,25.96154,29.80769
Control of Corruption: Percentile Rank,CC.PER.RNK,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..
Control of Corruption: Percentile Rank,CC.PER.RNK,Mongolia,MNG,45.68528,25.23809,26.06635,35.54502,38.38863,37.01923,37.5,36.53846,41.82692,39.90385,37.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Montenegro,MNE,53.29949,51.42857,53.08057,55.92417,49.76303,55.28846,53.84615,54.32692,54.80769,58.17308,55.28846
Control of Corruption: Percentile Rank,CC.PER.RNK,Morocco,MAR,54.31472,52.85714,42.1801,39.81042,44.07583,50,52.40385,53.84615,52.40385,47.59615,45.67308
Control of Corruption: Percentile Rank,CC.PER.RNK,Mozambique,MOZ,39.0863,40.47619,38.86256,34.59716,34.12322,29.32692,24.51923,17.78846,18.75,24.03846,23.55769
Control of Corruption: Percentile Rank,CC.PER.RNK,Myanmar,MMR,3.045685,0.4761905,0.4739336,13.74408,16.11374,20.19231,20.67308,32.21154,32.21154,30.28846,28.84615
Control of Corruption: Percentile Rank,CC.PER.RNK,Namibia,NAM,73.09644,67.61905,66.35071,66.82465,66.35071,64.42308,66.34615,65.86539,64.90385,65.38461,65.86539
Control of Corruption: Percentile Rank,CC.PER.RNK,Nauru,NRU,..,58.09524,56.87204,58.76777,31.27962,37.98077,36.05769,39.42308,40.38462,33.65385,36.05769
Control of Corruption: Percentile Rank,CC.PER.RNK,Nepal,NPL,30.96447,27.61905,23.22275,22.74882,28.43602,33.17308,32.21154,22.11539,23.55769,27.40385,27.40385
Control of Corruption: Percentile Rank,CC.PER.RNK,Netherlands,NLD,96.95432,97.61905,97.15639,96.20853,96.20853,95.67308,94.71154,94.71154,95.19231,96.15385,96.63461
Control of Corruption: Percentile Rank,CC.PER.RNK,Netherlands Antilles,ANT,..,77.14286,75.82938,76.30331,76.77725,..,..,..,..,..,..
Control of Corruption: Percentile Rank,CC.PER.RNK,New Zealand,NZL,97.96954,99.52381,99.52607,99.52607,99.52607,100,100,100,100,99.51923,100
Control of Corruption: Percentile Rank,CC.PER.RNK,Nicaragua,NIC,14.72081,24.28572,23.69668,25.11848,25.59242,19.71154,18.75,18.26923,18.26923,12.5,12.5
Control of Corruption: Percentile Rank,CC.PER.RNK,Niger,NER,21.82741,29.52381,29.38389,30.80569,33.17535,28.84615,29.32692,31.73077,27.40385,30.76923,32.21154
Control of Corruption: Percentile Rank,CC.PER.RNK,Nigeria,NGA,6.598985,15.2381,10.90047,10.90047,9.478673,8.173077,12.5,13.46154,12.5,13.46154,12.98077
