Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Ghana,GHA,..,8.42,..,..,..,..,4.99,..,..,4.4,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Greece,GRC,..,15.92,..,..,..,..,16.64,..,..,16.17,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Grenada,GRD,..,15.73,..,..,..,..,14.44,..,..,15.07,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Guatemala,GTM,..,7.17,..,..,..,..,4.14,..,..,3.97,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Guinea,GIN,..,1.13,..,..,..,..,1.82,..,..,1.89,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Guinea-Bissau,GNB,..,6.9,..,..,..,..,8.4,..,..,8.95,..,..
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",SH.ALC.PCAP.MA.LI,Guyana,GUY,..,14.53,..,..,..,..,11.8,..,..,11.02,..,..
